?,?,????,????,????,????,,
Year,Month,Fiscal Policy,Monetary Policy,Trade Policy,Exchange Rate Policy,,
1987,1,81.33137137,54.432362,79.99917984,202.388331,,????????????????????????????????? [We use the monthly count of articles from Nikkei Telecom to construct these indexes.]
1987,2,88.30423541,53.65479016,79.32758938,141.2617241,,????????????????????????????????????????????????????[These data can be used freely with attribution to the paper and authors.]
1987,3,122.7013155,79.17880465,164.2238798,173.733373,,"????""Policy Uncertainty in Japan"" by Elif C. Arbatli Saxegaard, Steven J. Davis, Arata Ito, and Naoko Miake. [Source: ""Policy Uncertainty in Japan"" by Elif C. Arbatli Saxegaard, Steven J. Davis, Arata Ito, and Naoko Miake.]"
1987,4,95.42464811,92.3099152,147.9260415,189.8792123,,
1987,5,87.31103867,52.8566484,147.8577335,91.78637112,,
1987,6,102.1892663,68.22455866,123.5784295,64.51245022,,
1987,7,69.90779968,20.48303734,80.14072219,59.89315766,,
1987,8,54.45078306,62.80049894,85.48682198,102.3437375,,
1987,9,59.91598759,75.16014461,93.37695925,63.72837204,,
1987,10,105.7611871,173.2171525,108.9403255,273.5235423,,
1987,11,119.2506736,156.8196002,111.2732887,238.4250724,,
1987,12,89.74902386,127.7209046,137.5752848,413.332507,,
1988,1,72.33300831,43.95790077,211.1373247,169.4398438,,
1988,2,55.28982465,39.50937415,107.0858728,48.03259151,,
1988,3,52.05672184,36.1283816,135.1557637,66.15788455,,
1988,4,51.82399041,25.46706952,128.319386,65.74252975,,
1988,5,44.03671751,45.59267158,82.03663584,49.51367351,,
1988,6,85.08547011,22.40680113,96.63277547,67.18992699,,
1988,7,67.38434592,44.18867281,91.21334046,194.7827099,,
1988,8,66.35270185,45.88732075,112.6895137,76.74594743,,
1988,9,61.19804344,35.59398286,99.1998785,63.53455117,,
1988,10,51.13509061,14.77822263,85.55520302,72.82632272,,
1988,11,80.12925275,41.37130789,82.42789624,132.454911,,
1988,12,62.62611,21.18478652,78.98813156,66.50974326,,
1989,1,75.0444867,50.60915896,66.92802827,61.89853814,,
1989,2,70.45193295,40.34089477,164.4841325,59.83100294,,
1989,3,84.74049081,46.77653724,63.60446381,57.29473467,,
1989,4,106.5034151,74.41567425,121.5071222,68.48212055,,
1989,5,83.23455151,78.5754573,127.6487747,138.3665853,,
1989,6,77.0588869,88.57920594,148.6590565,141.2343986,,
1989,7,91.09801189,70.3271218,159.2594157,61.53599744,,
1989,8,82.39638357,29.94758381,135.0694216,65.04755251,,
1989,9,81.15980311,31.44664542,135.6592968,112.2354136,,
1989,10,62.31626941,76.02938316,112.0003853,132.3908559,,
1989,11,47.15238225,52.12025517,42.56179877,51.34697473,,
1989,12,58.09262813,63.77664005,90.68570537,79.01019824,,
1990,1,64.67858946,61.85776727,134.9005512,175.7241514,,
1990,2,83.27291107,100.9530189,144.84111,134.3052593,,
1990,3,77.37779336,122.8952427,151.8753832,156.7696391,,
1990,4,71.52519769,53.72852974,111.5166783,107.6484298,,
1990,5,76.96721268,78.97630785,109.8520496,66.59500434,,
1990,6,73.77369209,47.40315159,87.08342352,47.78952076,,
1990,7,74.78273666,69.28150962,171.130849,48.11418382,,
1990,8,63.64994301,90.91855769,89.48682339,49.62916182,,
1990,9,81.18799503,92.07291136,89.21826004,49.58868325,,
1990,10,103.5839516,109.1103683,99.08344129,38.38076077,,
